City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
375,Bucerias,MX,79.77,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
379,Muisne,EC,75.58,overcast clouds,0.6,-80.0333,Quinta Samay
381,Lahad Datu,MY,76.53,overcast clouds,5.0268,118.327,The 27th House
382,Umm Lajj,SA,80.65,clear sky,25.0213,37.2685,Moon light Furnished Units
383,Trincomalee,LK,80.6,overcast clouds,8.5711,81.2335,Welcombe Hotel
385,Vaitape,PF,80.98,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
388,Dolores,AR,84.09,few clouds,-36.3132,-57.6792,Apart Hotel - Arianos
391,Lujan,AR,78.71,clear sky,-34.5703,-59.105,Hotel Biarritz
393,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
394,Tarakan,ID,80.83,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
398,Kikwit,CD,75.49,light rain,-5.041,18.8162,HOTEL PLACE YALABA
400,Karratha,AU,85.6,clear sky,-20.7377,116.8463,ibis Styles Karratha
406,Bowen,AU,79.25,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
413,Bonthe,SL,85.68,light rain,7.5264,-12.505,Bonthe Holiday Village
417,Vung Tau,VN,76.35,overcast clouds,10.346,107.0843,Green hotel
426,Kimbe,PG,76.08,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
427,Salinopolis,BR,86.02,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
435,Lorengau,PG,80.44,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
440,Gemena,CD,82.78,overcast clouds,3.25,19.7667,Hôtel Goshen
450,Mumford,GH,82.98,broken clouds,5.2618,-0.759,Spanish Villa
456,Sola,VU,80.08,scattered clouds,-13.8833,167.55,Leumerus Bungalows
460,San Vicente,AR,85.91,few clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
463,San Felipe,VE,85.57,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
466,Kyaikto,MM,76.23,few clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
474,Kavieng,PG,82.26,broken clouds,-2.5744,150.7967,Nusa Island Retreat
475,Bilma,NE,86.4,clear sky,18.6853,12.9164,Expeditions Ténére voyages
477,Praia,CV,82.94,scattered clouds,14.9215,-23.5087,LT Aparthotel
478,Menongue,AO,77.49,overcast clouds,-14.6585,17.691,Ritz Lauca
