City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
264,Vestmannaeyjar,IS,63.4427,-20.2734,40.19,93,90,11.5,fog
265,Pisco,PE,-13.7,-76.2167,69.85,73,0,11.5,clear sky
266,Kruisfontein,ZA,-34.0033,24.7314,65.12,68,42,7.4,scattered clouds
267,Buala,SB,-8.145,159.5921,79.47,81,98,1.34,light rain
268,Beloha,MG,-25.1667,45.05,63.48,59,10,12.66,clear sky
269,Cururupu,BR,-1.8283,-44.8683,90.27,51,31,7.52,scattered clouds
270,San Borja,BO,-14.8167,-66.85,81.45,70,95,4.18,overcast clouds
271,Ulaangom,MN,49.9811,92.0667,10.26,69,29,5.1,scattered clouds
272,Ballarat,AU,-37.5662,143.8496,45.01,94,74,7.0,broken clouds
273,Marzuq,YE,14.4,46.4667,75.07,35,0,5.37,clear sky
274,Tamluk,IN,22.3,87.9167,71.58,43,37,3.91,scattered clouds
275,Yermekeyevo,RU,54.0761,53.6712,12.83,86,22,7.16,few clouds
276,Airai,TL,-8.9266,125.4092,62.37,94,94,0.81,overcast clouds
277,Estrela,BR,-28.0611,-50.9383,67.14,76,100,5.64,overcast clouds
278,San Quintin,MX,30.4833,-115.95,67.5,38,0,1.83,clear sky
279,Severo-Yeniseyskiy,RU,60.3725,93.0408,2.71,92,100,6.73,overcast clouds
280,Seoul,KR,37.5683,126.9778,35.04,28,0,1.3,clear sky
281,Provideniya,RU,64.3833,-173.3,-5.19,84,4,5.46,clear sky
282,Cariamanga,EC,-4.3333,-79.55,59.77,53,43,3.8,light rain
283,Tigre,AR,-34.426,-58.5796,78.94,57,0,11.5,clear sky
284,Beyneu,KZ,45.3167,55.2,34.66,38,100,18.21,overcast clouds
285,Huarmey,PE,-10.0681,-78.1522,69.71,79,99,7.74,overcast clouds
286,Guatire,VE,10.4762,-66.5427,75.7,66,64,4.59,broken clouds
287,Mackay,AU,-21.15,149.2,78.33,81,76,6.08,broken clouds
288,Tanggu,CN,39.0211,117.6469,39.16,60,100,6.38,overcast clouds
289,Dubrovnik,HR,42.6481,18.0922,55.04,94,75,9.22,broken clouds
290,Shevchenkove,UA,49.6959,37.1735,40.78,83,100,13.91,overcast clouds
291,San Juan,AR,-31.5375,-68.5364,84.61,27,0,27.31,clear sky
292,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,20.93,91,100,6.17,light snow
293,Bilibino,RU,68.0546,166.4372,-28.3,97,11,4.34,few clouds
294,Kambove,CD,-10.8764,26.5969,67.44,85,99,5.1,overcast clouds
295,Coahuayana,MX,18.7333,-103.6833,81.88,57,37,2.06,scattered clouds
296,Kurchum,KZ,48.5722,83.6542,9.52,75,17,5.19,few clouds
297,Huancabamba,PE,-5.2386,-79.4506,68.47,74,72,2.26,light rain
298,Ust-Maya,RU,60.4167,134.5333,5.16,93,97,6.29,overcast clouds
299,Sibolga,ID,1.7427,98.7792,76.57,82,92,3.31,overcast clouds
300,Tecate,MX,32.5667,-116.6333,58.46,16,0,3.51,clear sky
301,High Prairie,CA,55.4334,-116.4858,15.1,86,43,3.83,scattered clouds
302,Lagoa,PT,39.05,-27.9833,60.46,64,53,9.64,broken clouds
303,Beaverlodge,CA,55.2166,-119.4361,19.42,90,94,4.43,overcast clouds
304,Katsuura,JP,35.1333,140.3,46.51,55,50,9.48,scattered clouds
305,Ibanda,TZ,-2.7974,32.4746,71.1,69,90,6.58,overcast clouds
306,Hami,CN,42.8,93.45,30.52,53,100,9.44,light snow
307,Ukiah,US,39.1502,-123.2078,44.49,81,1,0.0,clear sky
308,Sal Rei,CV,16.1833,-22.9167,80.8,65,75,20.71,broken clouds
309,Kayes,ML,14.0,-11.0,100.11,11,53,4.03,broken clouds
310,Aswan,EG,24.0934,32.907,80.83,20,1,10.18,clear sky
311,Shinpokh,PK,34.3292,71.1782,56.61,35,12,1.43,few clouds
312,Victoria,HK,22.2855,114.1577,69.85,70,8,15.46,clear sky
313,Goundam,ML,16.4145,-3.6708,96.73,9,54,3.02,broken clouds
314,Ornskoldsvik,SE,63.2909,18.7153,17.42,100,75,4.61,broken clouds
